Document,Summary,Model output
"the united states deported to bosnia on friday two bosnian serbs wanted by a local court on charges of genocide committed in the #### srebrenica massacre , an official said .",us deports to bosnia two serbs wanted for srebrenica genocide, Two Bosnian Serbs deported for genocide.
"north korea on saturday staged a state funeral for UNK minister kim kwang-jin , who died thursday at the age of ## , the second key military figure to die in less than a week .",n. korea holds state funeral for vice defense minister," North Korea held a state funeral for their Minister of People's Armed Forces, Kim Kwang Jin, who passed away on Thursday."
"zairean president mobutu sese seko will stay at his french riviera residence until at least the middle of the week because of an increase in diplomatic activity , a mobutu aide said on sunday .",zaire president mobutu to stay in france till mid-week," Zairean President Mobutu Sese Seko to stay in French Riviera residence until mid-week due to increased diplomatic activity, according to aide."
"the rand was slightly weaker against the dollar in early trade here monday , opening at #.#### \/ ## to the greenback compared to its close friday of #.#### \/ ## .",rand slightly weaker against dollar in early trade, Slightly weaker Rand versus Dollar on Monday morning.
"the head of al-azhar , the top sunni moslem authority , will visit germany next week to discuss the teaching of islam in europe , his spokesman said monday .",top moslem cleric to visit germany, Al-Azhar leader to visit Germany for Islam discussion.
"all countries that signed the european union 's maastricht treaty have `` exactly the same right '' to join in monetary union at the outset , as long as they meet the convergence criteria , french president jacques chirac said on monday .",chirac says all maastricht signers have same right to emu," All countries in EU have equal right to join monetary union if they meet criteria, says Chirac."
"a thai man believed to have been killed in a knife fight has caused a stir by returning to his home eight months after his own funeral , a thai daily reported tuesday .",thai man returns home eight months after his funeral," Resurrected, alive after funeral."
"croatia protested tuesday over an attack against a roman catholic church in sarajevo , which came just one month ahead of a scheduled visit by the pope , hina news agency said .",croatia protests over attack on catholic church in sarajevo, Croatia protests Sarajevo church attack.
"senior magistrates in france have accused president jacques chirac and the government of ignoring their objections when making important judicial appointments , it was reported wednesday .",france : top magistrates say government ignoring their views, French senior magistrates accuse Chirac of ignoring objections.
"the german government and red cross have decided to give ###,### dollars in humanitarian aid to victims of the earthquake which devastated UNK in northwest iran , the embassy here announced wednesday .","germany gives ###,### dollars in aid for iran quake victims"," German & Red Cross provide $XXX,XXX in aid for Iran quake victims."
imf chief michel camdessus wednesday told india to prepare for a second wave of economic reforms to catch up with asian tigers .,india should prepare for second wave of economic reforms : imf chief, IMF Chief Advises India to Prepare for Economic Reforms.
"canada 's government is investigating a decision by the us-owned wal - mart retail chain to pull UNK pyjamas from its canadian stores , international trade minister art eggleton said wednesday .",wal-mart being probed by canada for withdrawing cuban goods, Wal-Mart pulled Pyjamas from Canadian stores.
india 's congress -lrb- i -rrb- party thursday said it would block some of the government 's UNK tax cut plans .,india 's congress party threatens to sink budget tax plans, Congress to oppose tax cuts.
"about ### rwandan refugees who have flown in from civil war-torn eastern zaire were stuck thursday at nairobi 's wilson airport , where immigration officials refused to allow them on to kenyan territory .",refugees from zaire stuck at nairobi airport by annie thomas, Rwandan refugees denied entry into Kenya.
"six us tourists and their costa rican pilot cheated death friday when their twin-engine plane crashed into a wooded hillside outside costa rica 's capital , red cross officials said .",all six us tourists and pilot survive costa rica crash," Six U.S. tourists and Costa Rican pilot survived a plane crash in Costa Rica on Friday, according to Red Cross officials."
"zairean rebels , led by laurent-desire kabila , on saturday rejected calls by the united nations for a ceasefire , saying it could only be called after talks with kinshasa .",zairean rebels reject un call for ceasefire," Zairean rebels refuse U.N. call for ceasefire, conditioning on talks with Kinshasa."
south korean union leaders on sunday threatened renewed strikes against new labor rules drafted by parliament to replace a controversial bill which sparked industrial unrest last december .,skorean unions threaten new strikes against revised labor law by c. w. lim, South Korean union leaders to stage renewed strikes against new labor rules.
egyptian president hosni mubarak said sunday said he would ask us president bill clinton to `` use his influence '' to halt a controversial planned jewish settlement in east jerusalem .,mubarak to ask clinton for help in halting jerusalem housing plan, Egypt's Mubarak asks Clinton to halt Jerusalem settlement.
"the stability of hong kong 's stockmarket will continue after july #st , when the territory is handed by to china , central monetary authority president joseph yam said here monday .",hongkong bourse seen stable after july #," ""HK stock market stability to persist post-July 1."""
the deputy president of a us study group on foreign UNK said here monday normalisation of relations between pakistan and india would give a boost to foreign investment in the region .,us think tank leader urges normalisation between pakistan india," ""Positive impact on foreign investment if Pakistan-India relations normalize."""
"diana , princess of wales , on monday visited a homeless emergency cold weather shelter in a notorious red light district in central london - but found her motives questioned by those whose cause she hoped to highlight .",diana 's motives questioned in visit to red light district homeless hostel," Diana, Princess of Wales, visited a homeless shelter in London."
"the rand firmed further against the dollar in early trade here tuesday , opening at #.#### \/ ## to the greenback against #.#### \/ ## at close on monday .",rand firms against dollar," South African Rand strengthened vs USD in early Tuesday trading, opening at ##.##/### to the dollar (vs ##.##/### previously)."
the arab group in the united nations on tuesday dismissed israel 's warning that a palestinian bid to apply international pressure against israel could freeze the peace process .,arab group condemns israeli ministers remarks on peace process, Arab UN group rejects Israeli claim of frozen peace process.
"sesame street has extended to shanghai through a joint production of a chinese version , sponsored by us power company general electric -lrb- ge -rrb- , of the us made children 's television program .",sesame street extends to shanghai, Sesame Street expands to Shanghai with Chinese version produced by General Electric.
"thai share prices dropped #.# percent in thin trading thursday amid profit-taking by local traders , analysts said .",thai share prices drop #.# percent, Thai share prices fell due to profit-taking by locals and a lack of volume.
"twenty-eight people were rushed to hospital saturday after ## different chemicals spilled inside the hold of a british airways boeing ### at london 's heathrow airport , the rescue services said .",chemical spill at london airport sends ## to hospital, 28 injured in Boeing 747 chemical spill at Heathrow.
"tens of thousands of demonstrators marched through brussels sunday , calling for eu action to defend jobs , amid widespread anger at a decision by french carmaker renault to close a factory here .",tens of thousands march through brussels to defend jobs, Thousands protest job losses in Brussels.
"a truck carrying illegal north african immigrants flipped over in northeastern spain , killing ## and injuring six others , police said monday .",eleven immigrants killed in road accident in spain," Truck accident kills 10, injures 6 in Spain."
un secretary general kofi annan on monday heeded the advice of the leading industrialised nations and announced the merger of the world body 's three economic development departments into one .,un chief heeds g# merges economic development departments, Kofi Annan merged three UN development departments.
"an unscheduled flight from xiamen in china which could be carrying north korean defector hwang jang-yop landed tuesday at the clark airbase , north of here , sources at the manila international airport said .",chinese plane arrives in philippines," An unscheduled flight from Xiamen, China with a possible North Korean defector landed at Clark Air Base in Pampanga, Philippines."
"jakarta share prices closed #.# percent lower tuesday amid selling pressure on heavyweight stocks , brokers said .",jakarta shares close #.# percent lower," Jakarta share prices fell on Tuesday, with heavyweights leading the decline."
a shiite moslem cleric living in iran has threatened to call for a holy war against the bahraini government if it sentences to death alleged iranian-backed militants .,shiite cleric warns of holy war against bahrain, Iranian Shia cleric threatens holy war against Bahrain.
president bill clinton admitted tuesday that the us-russia summit will be a `` tough '' one as he heads for a showdown with president boris yeltsin over his cherished role of expanding nato .,clinton admits us-russia agenda will be tough by gretchen cook," ""President Clinton admits tough NATO summit ahead."""
"rescuers have found the two black boxes belonging to the russian antonov-## charter plane which crashed tuesday in the north caucasus , killing the ## people on board , the ministry for emergencies said wednesday .",black boxes recovered from plane crash site in caucasus, Two black boxes found at crash site.
"burma has put five cities on a security alert after religious unrest involving buddhists and moslems in the northern city of mandalay , an informed source said wednesday .",burma puts five cities on security alert after religious unrest," Religious tensions in Mandalay, Burma puts 5 cities on alert."
politicians were urged thursday to regard public opinion not personal views when voting on a bill aimed at overturning the world 's first legislation allowing voluntary euthanasia .,australian euthanasia widow goes public in plea for law to remain, Politicians urged to respect public opinion on assisted dying bill.
"up to ## afghans have been killed and hundreds injured by a massive explosion at an ammunition depot in the eastern provincial capital jalalabad , kabul red cross officials said thursday .",up to ## killed in afghan blast accident suspected by terence white, Massive explosion at Afghan ammo depot kills and injures.
"delta air lines will hold a press conference at #### gmt thursday to announce a major new aircraft purchase , the company said in a statement .",delta set to announce an important order, Delta Airlines to announce new aircraft purchase on Thursday.
"german auto group volkswagen chalked up a sharply higher operating profit last year at #.## billion marks -lrb- #.## billion dollars -rrb- , up a cool ##.# percent from the #### level , the UNK concern announced on friday .",volkswagen group reports surge in annual operating profit," German auto group Volkswagen had a sharp increase in operating profit last year, reaching #.## billion marks (approximately $##.## billion dollars) - a rise of ##.#% from the previous year's level, according to an announcement by the company on Friday."
new research suggested saturday that ugly suspects with `` stereotypical criminal features '' are more likely to be found guilty than good - looking defendants .,the beautiful go free while the ugly are damned, Ugly suspects seen as guilty.
"a girl of ## cut off a ##-year-old widower 's penis after he made advances to her , police here said sunday .",spanish girl cuts off man 's penis for making sexual advances, Woman attacked man with knife.
"embattled zairean president mobutu sese seko on monday `` took note '' of parliament 's decision last week to sack the government of prime minister kengo wa dondo , national radio said .",mobutu notes parliament 's decision to sack government, Mobutu sacks PM.
"hong kong tycoon li ka-shing 's flagship cheung kong -lrb- holdings -rrb- ltd. is expected to report a UNK .# percent rise in #### net profits on wednesday , analysts said .",hong kong 's cheung kong expected to report rise in #### profits," Hong Kong tycoon Li Ka-shing's Cheung Kong (CK) and Hutchison Whampoa (HW) holding companies are expected to report an 18.7% rise in Q3 net profits on Wednesday, according to analysts."
"thousands of chanting voices soared into the air at a stadium here wednesday as the dalai lama led about ##,### people in a holy buddhist initiation rite aimed at freeing them from earthly ties .","dalai lama leads ##,### in mass buddhist initiation rite", Thousands of Tibetans chant for enlightenment.
wednesday 's evening rubber prices in singapore cents per kilo provided by the singapore commodity exchange : UNK,evening rubber prices," I'm sorry, but I don't have information on Wednesday's evening rubber prices in Singapore. Could you provide more context or clarify your question?"
"the un expert on missing persons in the former yugoslavia , manfred nowak , resigned on wednesday , blaming his decision to quit on a lack of support from the international community .",un missing persons chief for former yugoslavia resigns," Manfred Nowak, UN expert on missing persons in the former Yugoslavia, resigns due to lack of support."
a saudi national suspected in last year 's bombing of a us barracks in saudi arabia appeared at a crucial deportation hearing here wednesday .,new charges brought against saudi suspect in terrorist bombing, Saudi national appeared in deportation hearing.
the sudanese opposition said here thursday it had killed more than ### government soldiers in an ambush in the east of the country .,sudanese opposition says ### government troops killed in ambush," Sudanese opposition claims victory in battle, reports killing over 200 gov't soldiers."
"a sudanese convicted of a series of murders and two other arabs found guilty of drug trafficking were beheaded on friday , the saudi interior ministry said .",three beheaded in saudi arabia, Convicts Beheaded in Saudi Arabia.
the first southeast asian biennial film festival opened here saturday with organizers hailing the event as a step toward rebuilding cambodia 's shattered film industry and promoting regional movies .,southeast asian film festival opens in cambodia, Cambodian film festival to promote regional cinema.
"macedonian construction , environment and urbanization minister UNK UNK has resigned in connection with a scandal over the bankruptcy of the tat savings bank , the belgrade-based independent news agency beta reported , quoting skopje 's a# television .",macedonian minister resigns over scandal more to go : beta, Macedonian construction minister resigns due to banking scandal.
"israeli prime minister benjamin netanyahu may be in washington next week and could meet with president bill clinton on the crumbling mideast peace process , the white house said monday .",netanyahu may come to washington as peace process reaches critical phase, Prime Minister Netanyahu to visit Washington for potential meeting on Mideast peace process.
members of the youth wing of vladimir putin 's united russia party on saturday launched a campaign against illegal immigration under the theme : `` our money for our people .,football : serbian league results, Youth United Russia campaign against illegal immigration.
india were ###-# at tea in their second innings on the fifth and final day of the third test against australia at the feroz shah kotla stadium here on sunday .,cricket : india vs australia third test scoreboard, India trailed by 128 runs at tea in their second innings.
"there is little appetite among european union member states for military intervention in the democratic republic of congo , the eu 's most senior military figure warned monday .",little eu will for tough drcongo operation : military chief," Limited appetite for military action in DRC, says EU military chief."
"german public regional bank hsh nordbank will ask the government for up to ## billion euros -lrb- ##.# billion dollars -rrb- in loan guarantees as part of a national rescue plan for the banking sector , it said in a statement on monday .",german hsh nordbank wants up to ## bln euros in state guarantees, German public regional bank HSH Nordbank seeks government loan guarantees up to $## billion.
