Document,Summary,Model output
"#st quarter : chi - td , curtis conway ## UNK pass from erik kramer -lrb- kevin butler kick -rrb- , #:## .",chicago # ## # # ## green bay ## # # # ##," ""Erik Kramer to Kevin Butler for touchdown with 21 seconds left in the first quarter, Bears lead 7-0."""
"at least ## people were killed when a nigeria airways airliner crashed on landing monday at kaduna airport in the north of the country , airport officials said .",nigerian plane crashes on landing killing at least ##, Airliner crash kills at least 20 at Kaduna Airport.
the four candidates in algeria 's first free presidential election held final rallies monday amid tight security as some voters began casting their ballots three days ahead of the main poll .,algerian presidential candidates wind up campaign by richard palmer," Four candidates hold final rallies, while voters start casting ballots."
the united nations children 's fund -lrb- unicef -rrb- has voiced concern over the plight of children in much of eastern europe where communism was abruptly dismantled and state services allowed to erode .,unicef concerned about welfare of children in former communist states, UNICEF expresses concern for Eastern European children affected by collapse of communism.
"a swedish un soldier in bosnia was shot and killed by a stray bullet on tuesday in an incident authorities are calling an accident , military officials in stockholm said tuesday .",swedish un soldier in bosnia killed by stray bullet, Soldier killed in Bosnia accident.
a us judge denied on tuesday a request for the extradition of former mexican deputy attorney general mario ruiz massieu to mexico where he is charged with a cover-up in his brother 's murder investigation .,us judge denies mexico 's extradition request for massieu, US Judge denies Mexico's extradition request for Mario Ruiz Massieu.
"german chemical giant hoechst group announced plans wednesday to invest ### million dollars in china next year , with the idea of getting a strong foothold in the fast growing economy , xinhua news agency reported .",hoechst to invest total ### million us dollars in chinese operation, German Chemical Giant Plans $###M Investment in China.
a court here thursday sentenced a ##-year-old man to ## years in jail after he admitted pummelling his baby son to death to silence him while watching television .,man who killed baby to hear television better gets ## years, Court sentences man to prison for killing infant son.
"president bill clinton said thursday he would propose a new plan to congress to reopen many government operations and end the budget impasse , but repeated his intention to veto a republican budget bill .",clinton congress offer plans to end budget impasse, President Clinton plans to introduce new proposal.
"the repatriation of at least #,### bosnian moslems was postponed friday after the unhcr pulled out of the first joint scheme to return refugees to their homes in northwest bosnia .",repatriation of bosnian refugees postponed, UNHCR withdraws from Bosnia repatriation plan.
"the shooting down of the largest transport plane in the sri lankan air force has wrecked supply lines and slowed a major government offensive against the tamil rebel citadel of jaffna , analysts said .",downing of plane slows sri lanka 's army onslaught on jaffna by amal jayasinghe," Sri Lanka's largest transport plane shot down, disrupting military operations."
outgoing polish president lech walesa and his ex-communist rival aleksander kwasniewski cast their ballots sunday in a tight contest for the presidency but managed some humor amid all the tension .,walesa kwasniewski cast ballot amid touch of humor," Lech Walesa and Aleksander Kwasniewski vote in tight presidential race, inject humor."
tea scores on the fourth day of the second test between australia and pakistan here monday .,australia vs pakistan tea scorecard, Tea Scores on Day 4 of PAK vs AUS Test
"australia 's news corp announced monday it was joining brazil 's globo , mexico 's grupo televisa and the us tele-communications inc. in a venture to broadcast ### channels via satellite to latin america .",news corp globo televisa and tele-communications in satellite venture," News Corp to Broadcast Channels via Satellite in Latin America with Globo, Televisa, and AT&T."
"former israeli chief of staff ehud barak is to be appointed foreign minister in the new cabinet of prime minister shimon peres , an outgoing minister said tuesday .",barak to be named israel 's new fm outgoing minister says, Ehud Barak to be Foreign Minister in New Peres Cabinet.
"indicted war criminals will not be allowed to hold office or serve in the military in post-war bosnia under a peace agreement for the balkans reached tuesday , us officials said .",balkan leaders to bar war criminals from office : clinton, Indicted war criminals barred from holding office/military. Post-war Bosnia peace accord.
malaysian prime minister mahathir mohamad indicated friday he would soon relinquish control of the ruling party to his deputy anwar ibrahim .,mahathir wants leadership change to be smooth, Mahathir to hand over power to Anwar.
"bosnian croat forces have begun torching homes in parts of western bosnia captured during a summer offensive but due to return to serb control under the dayton peace agreement , un officials said friday .",croats torch homes in areas due to return to serbs, Bosnian Croat forces burn homes in western Bosnia.
"president robert mugabe 's pay packet will be more than doubled by july next year to a total of ###,### zimbabwe dollars -lrb- around ##,### us dollars -rrb- , the government announced saturday .",president mugabe 's salary doubled," President Mugabe's salary increased to over $20,000 per month by July 2021."
"former french prime minister michel rocard and former us defense secretary robert mcnamara have agreed to serve on an australian commission working to ban nuclear weapons , prime minister paul keating said sunday .",former french pm to serve on keating commission to ban the bomb by jack taylor, Michel Rocard and Robert McNamara join Australian nuclear ban commission.
"former mexican president carlos salinas said sunday that he was astonished by charges that his brother was connected with the drug - trafficking underworld and that , if convicted , he should be punished .",former mexican president says he is astonished by brother 's arrest, Carlos Salinas denies drug trafficking allegations against brother.
ministers from the european union and its mediterranean neighbors gathered here under heavy security on monday for an unprecedented conference on economic and political cooperation .,european mediterranean ministers gather for landmark conference by julie bradford," EU, Mediterranean nations meet for economic, political cooperation."
bosnian president alija izetbegovic on monday accused bosnian serb leader radovan karadzic of seeking to sway the us congress against approving us troops to help enforce peace in the former yugoslavia .,karadzic trying to trip up peace process : izetbegovic, Accuse Karadzic of lobbying US Congress.
pakistan 's team manager intikhab alam dismissed claims tuesday that his team 's poor performance in the current test series was to blame for weak ticket sales ahead of the final test .,do n't blame pakistan for poor test ticket sales says manager, Pakistan team manager denies link between test performance and ticket sales.
"faced with a mushrooming influence-peddling scandal that has rocked the government , president fernando henrique cardoso has opened a high - level probe into the affair in an attempt to stem political fallout .",president opens probe of influence-peddling scandal, Cardoso investigates influence-peddling scandal.
president fidel ramos on thursday said he was `` confident '' that peace talks with moslem guerrillas would result in a successful conclusion following the latest round of negotiations in jakarta .,ramos confident of successful conclusion in moslem peace talks, President Ramos optimistic about peace talks success.
"general motors corp. expects it will be able to avoid a crippling strike at its largest parts subsidiary despite a disagreement over the company 's attempt to throw out its union contracts as it emerges from bankruptcy , gm 's chief executive said thursday .",gm expects to avoid strike at delphi : ceo," General Motors CEO expects strike avoided, disputes with union."
"football fans in the bangladesh capital dhaka will be able to watch the world cup live on big screens at ## city locations , officials said friday .",the afp world news summary, Football fans in Dhaka can watch World Cup on big screens.
india won the toss and chose to bat on the opening day in the opening test against west indies at the antigua recreation ground on friday .,india win toss and elect to bat in first test," India wins toss, bats first in Antigua."
polling stations closed at #### gmt -lrb- #### local time -rrb- friday on the first day of czech legislative elections shadowed by allegations surrounding social democrat prime minister jiri paroubek .,polling stations close on first day of czech legislative elections, Polls close Friday on Czech election day marred by scandals involving Social Democrat leader Jiri Paroubek.
american time-trial specialist david zabriskie of team csc won the #.# km opening prologue of the dauphine libere here on sunday .,american zabriskie snatches dauphine prologue, American rider David Zabriskie wins prologue at Dauphiné Libéré.
"a powerful bomb exploded outside a navy base near the sri lankan capital colombo tuesday , seriously wounding at least one person , military officials said .",bomb attack outside srilanka navy base," A bomb explosion near Colombo, Sri Lanka."
mittal steel said on wednesday that its hostile takeover offer to shareholders in european steelmaker arcelor had officially begun in the united states and would last until july # .,mittal launches hostile arcelor bid in us, Mittal Steel launches hostile takeover bid for Arcelor.
americans have to wait probably another year before they can relish succulent indian mangoes .,time not ripe yet for indian mangoes to hit us, Indian mango ban lifted for US.
"some #.# billion people worldwide are expected to watch germany face costa rica on television at the opening match of football 's world cup , german public broadcaster zdf said thursday .",#.# billion tv viewers expected for opening world cup match," ""Germany's World Cup opener to be watched by billions globally."""
"us defense secretary donald rumsfeld said thursday the killing of al-qaeda 's leader in iraq , abu musab UNK , was a significant victory in the battle against terrorism but not the end of the violence .",rumsfeld calls zarqawi death significant victory," Rumsfeld on Al-Qaeda Leader's Death: Significant Victory, But Not End of Violence."
"britain 's prince philip celebrates his ##th birthday on saturday , after ## years of marriage to queen elizabeth ii during which he has had to temper his UNK instincts and play a supporting role .",afp advancers, Prince Philip celebrates 104th birthday.
"jason terry , hero of dallas ' game one national basketball association finals win over miami , may need off-season surgery on an injured thumb that he has been nursing for four months .",mavs hero terry may need surgery to fix injured thumb, Jason Terry needed surgery after winning NBA Finals.
"al-qaeda in iraq appointed a militant named sheikh abu hamza UNK to succeed jordanian-born abu musab al-zarqawi who was killed in a us air strike , in an internet message posted monday .",afp world economic news summary, Al-Qaeda in Iraq names new leader.
"french bank credit agricole launched on tuesday a public cash offer to buy the ## percent of emporiki bank it does not already own , in a bid valuing the greek group at #.# billion euros -lrb- #.# billion dollars -rrb- .",credit agricole announces #.#-billion-euro bid for greek bank emporiki, French Bank Credit Agricole launches public cash offer for Empoiriki Bank.
"the open square in front of the french capital 's famed notre dame cathedral will be renamed after late pope john paul ii , the city council decided tuesday .",notre dame cathedral square to be named after john paul ii," ""Notre Dame Square to Be Renamed for Pope John Paul II."""
"the somali town of jowhar , the last stronghold of the us-backed warlords , on wednesday girded for new clashes after three powerful militia chiefs fled the township as their enemies were reportedly within striking distance , residents said .",somali warlords stronghold tense after us-backed militia chiefs flee, Somali town prepares for clashes as warlord chiefs flee.
"the french press on wednesday were typically scathing in their assessment of les bleus ' performance in their opening world cup match , a #-# draw with switzerland .",press lambasts sorry french display, Critical French media after opening World Cup draw.
world number three david nalbandian said wednesday that he was optimistic of being fit to compete in wimbledon after being forced to retire injured in the french open semi-finals last week .,nalbandian optimistic for wimbledon fitness, David Nalbandian hopes to play at Wimbledon.
"a consortium led by us investment bank goldman sachs thursday increased its takeover offer of associated british ports holdings , the biggest port operator in britain , after being threatened with a possible rival bid .",goldman sachs increases bid for ab ports, Goldman Sachs-led consortium increases ABP Holdings offer.
"west germany 's #### world cup winning hero franz beckenbauer hopes hosts germany are not paired with england in the last ## of the world cup , saying he would prefer to meet the old foe later in the tournament .",beckenbauer hopes germany avoid england, Franz Beckenbauer wants Germany (West) to avoid England in World Cup knockouts.
"former italian prime minister silvio berlusconi has been re-elected as president of serie a side ac milan , the club confirmed on thursday .",berlusconi re-elected ac milan president, Silvio Berlusconi elected AC Milan president again.
"mauritania 's ruling military leaders have launched an electoral campaign in support of a constitutional referendum set for june ## , the official media announced friday .",mauritania 's junta campaigns for constitutional referendum, Military supports constitutional referendum in Mauritania.
"slovaks started voting at #:## am -lrb- #### gmt -rrb- on saturday in elections to the ###-seat parliament , with centre-right prime minister mikulas dzurinda fighting to continue far-reaching but painful reforms .",slovaks start voting in legislative elections," Slovak citizens cast ballots in parliamentary election on Saturday, with PM Dzurinda defending controversial reforms."
result in a world cup group g match here on sunday .,world cup : france # south korea #, Group G match at World Cup.
factfile on ivory coast who play serbia and montenegro in a world cup group c match here on wednesday : UNK,world cup #### factfile : ivory coast," Ivory Coast vs Serbia and Montenegro, World Cup Group C match, Wednesday."
factfile on croatia who face australia in a world cup group f match here on thursday : UNK,world cup #### factfile : croatia, Factfile on Croatia ahead of World Cup game vs Australia.
estonians will miss their traditional midsummer bonfires in state-owned forests this year after the authorities on tuesday banned the practice because of risk of forest fires .,midsummer fest bonfires banned in estonian forests, Traditional Midsummer Bonfires Banned Due to Forest Fire Risk.
us lawyer ed fagan said wednesday he will bring a multi-million dollar lawsuit in the united states against the polish government unless it takes concrete steps to repay a huge debt to holders of bonds issued before world war ii .,us star lawyer ed fagan to sue poland for unpaid bonds," ""Lawyer Threatens Lawsuit Against Poland for Debt Repayment."""
around ### clandestine immigrants wednesday staged a peaceful breakout from a detention center in malta and demonstrated on a road shouting `` we want freedom .,mass breakout of immigrants from malta center, Clandestine immigrants protest peacefully.
"like a conquering army , south korea are marching towards the knock-out stages of the #### world cup on their stomachs .",team korea marching on their stomachs, South Korea advancing through World Cup with strong performance.
eight chinese scientists have asked a leading us medical journal to withdraw a letter published thursday alleging that china knew about a human case of bird flu two years before the first case was officially announced .,chinese scientists ask us journal to withdraw letter on human bird flu case, Chinese scientists dispute bird flu claim.
two-time champions argentina suffered a blow on thursday when defender nicolas burdisso was ruled out of the world cup second round clash against mexico here on saturday because of a ankle injury .,argentina defender burdisso out of mexico clash, Argentina faces loss due to Burdisso's injury.
the white house said friday that a new videotape of al-qaeda number two ayman al-zawahiri is the terrorist network 's latest shot in its effort to win a `` propaganda war .,zawahiri video is part of propaganda war : us, Al-Qaeda releases new video featuring Ayman al-Zawahiri.
directors of the european steel giant arcelor were to meet sunday in luxembourg to decide between two suitors : the partnership offered by russia 's severstal and the hostile bid from mittal steel .,arcelor board in crucial meeting sunday, Russian vs. Indian for Arcelor.
"china has executed five people who had been sentenced to death for drugs trafficking , state media reported on monday .",china says five executed for drugs, China executes five for drug trafficking.
wigan moved to consolidate their premiership status tuesday by tying down one of the brightest stars of last season 's maiden top flight campaign .,wigan tie up baines for three years, Wigan secured defender Donervon Daniels' long-term future.
"hurricane katrina fraudsters who billed the us government for fictitious services and filed claims for phantom hotel guests and even dom perignon champagne have cost taxpayers up to two billion dollars , the new york times reported tuesday .",hurricane katrina fraud swells to two billion dollars : report, Fake billings cost $2B.
"two exclusive rome clubs have invited prince victor emmanuel to resign following his arrest on suspicion of providing prostitutes and illegal slot machines to a casino , an italian newspaper reported on wednesday .",italy 's disgraced prince asked to resign from top clubs : reports, Two exclusive Rome clubs have called for Prince Victor Emmanuel to resign after he was arrested on suspicion of providing prostitutes and illegal slot machines to a casino.
"greece said thursday that it was monitoring the escalating hostilities between israelis and palestinians with `` particular concern , '' and feared it could worsen .",greece worried over escalation of mideast hostilities," Greece expresses concern over Israel-Palestine conflict, fears escalation."
the australian government friday warned building products company james hardie it had run out of excuses for not paying compensation to victims of its asbestos products following a special tax ruling .,no more excuses on asbestos payouts australia tells james hardie, Australian govt threatens James Hardie with compensation.
palestinian prime minister ismail haniya insisted friday that his hamas-led government was continuing efforts to secure the release of an israeli soldier captured by militants .,efforts still underway to secure soldier 's release : hamas pm," Israeli soldier capture, Hamas effort."
"the united states deported to bosnia on friday two bosnian serbs wanted by a local court on charges of genocide committed in the #### srebrenica massacre , an official said .",us deports to bosnia two serbs wanted for srebrenica genocide, US deports Bosnians for genocide.
"north korea on saturday staged a state funeral for UNK minister kim kwang-jin , who died thursday at the age of ## , the second key military figure to die in less than a week .",n. korea holds state funeral for vice defense minister, North Korea mourns military leader's death.
"zairean president mobutu sese seko will stay at his french riviera residence until at least the middle of the week because of an increase in diplomatic activity , a mobutu aide said on sunday .",zaire president mobutu to stay in france till mid-week, Mobutu to stay in France until midweek.
"the rand was slightly weaker against the dollar in early trade here monday , opening at #.#### \/ ## to the greenback compared to its close friday of #.#### \/ ## .",rand slightly weaker against dollar in early trade, Weak RAND vs USD early Monday.
"the head of al-azhar , the top sunni moslem authority , will visit germany next week to discuss the teaching of islam in europe , his spokesman said monday .",top moslem cleric to visit germany," Sisi to Visit Uzbekistan for Talks on Economic, Cultural Cooperation."
"all countries that signed the european union 's maastricht treaty have `` exactly the same right '' to join in monetary union at the outset , as long as they meet the convergence criteria , french president jacques chirac said on monday .",chirac says all maastricht signers have same right to emu," All countries that signed Maastricht Treaty have equal right to join monetary union if they meet criteria, according to French President Jacques Chirac."
"a thai man believed to have been killed in a knife fight has caused a stir by returning to his home eight months after his own funeral , a thai daily reported tuesday .",thai man returns home eight months after his funeral, Bizarre resurrection story.
"croatia protested tuesday over an attack against a roman catholic church in sarajevo , which came just one month ahead of a scheduled visit by the pope , hina news agency said .",croatia protests over attack on catholic church in sarajevo," Croatian citizens protested on Tuesday, March 7th, due to an attack on a Roman Catholic Church in Sarajevo that took place the previous day. This occurred only one month before Pope Francis' scheduled visit to Bosnia and Herzegovina."
"senior magistrates in france have accused president jacques chirac and the government of ignoring their objections when making important judicial appointments , it was reported wednesday .",france : top magistrates say government ignoring their views," Chirac & govt ignored senior mag's objections on judicial appointments, report says."
"the german government and red cross have decided to give ###,### dollars in humanitarian aid to victims of the earthquake which devastated UNK in northwest iran , the embassy here announced wednesday .","germany gives ###,### dollars in aid for iran quake victims"," German Government and Red Cross to provide $X,XXX for quake relief in Northwest Iran."
imf chief michel camdessus wednesday told india to prepare for a second wave of economic reforms to catch up with asian tigers .,india should prepare for second wave of economic reforms : imf chief, Michel Camdessus urges India to adopt more economic reforms.
"canada 's government is investigating a decision by the us-owned wal - mart retail chain to pull UNK pyjamas from its canadian stores , international trade minister art eggleton said wednesday .",wal-mart being probed by canada for withdrawing cuban goods, US-owned Walmart pulls UNK pyjamas from Canadian stores under investigation.
india 's congress -lrb- i -rrb- party thursday said it would block some of the government 's UNK tax cut plans .,india 's congress party threatens to sink budget tax plans, Congress party opposes tax cut plans.
"about ### rwandan refugees who have flown in from civil war-torn eastern zaire were stuck thursday at nairobi 's wilson airport , where immigration officials refused to allow them on to kenyan territory .",refugees from zaire stuck at nairobi airport by annie thomas, Rwandan refugees stranded at Nairobi's Wilson Airport.
"six us tourists and their costa rican pilot cheated death friday when their twin-engine plane crashed into a wooded hillside outside costa rica 's capital , red cross officials said .",all six us tourists and pilot survive costa rica crash, Six tourists cheated death in Costa Rica.
"zairean rebels , led by laurent-desire kabila , on saturday rejected calls by the united nations for a ceasefire , saying it could only be called after talks with kinshasa .",zairean rebels reject un call for ceasefire," UN calls for Ceasefire, Rebels reject."
south korean union leaders on sunday threatened renewed strikes against new labor rules drafted by parliament to replace a controversial bill which sparked industrial unrest last december .,skorean unions threaten new strikes against revised labor law by c. w. lim, Union leaders threaten strikes over new labor rules.
egyptian president hosni mubarak said sunday said he would ask us president bill clinton to `` use his influence '' to halt a controversial planned jewish settlement in east jerusalem .,mubarak to ask clinton for help in halting jerusalem housing plan, Mubarak to Ask Clinton for Help Stopping Jewish Settlement.
"the stability of hong kong 's stockmarket will continue after july #st , when the territory is handed by to china , central monetary authority president joseph yam said here monday .",hongkong bourse seen stable after july #," ""HK's stock market stability remains post-July."""
the deputy president of a us study group on foreign UNK said here monday normalisation of relations between pakistan and india would give a boost to foreign investment in the region .,us think tank leader urges normalisation between pakistan india, Normalization of Pak-India relations could increase foreign investment.
"diana , princess of wales , on monday visited a homeless emergency cold weather shelter in a notorious red light district in central london - but found her motives questioned by those whose cause she hoped to highlight .",diana 's motives questioned in visit to red light district homeless hostel," Diana visited a homeless shelter, but was met with criticism."
"the rand firmed further against the dollar in early trade here tuesday , opening at #.#### \/ ## to the greenback against #.#### \/ ## at close on monday .",rand firms against dollar," CAD strengthened vs USD in early trading Tuesday, with the exchange rate initially at #.#### \/ ## compared to #.#### \/ ## from Monday's closing price."
the arab group in the united nations on tuesday dismissed israel 's warning that a palestinian bid to apply international pressure against israel could freeze the peace process .,arab group condemns israeli ministers remarks on peace process," ""Arab Group Dismisses Israel's Warning."""
"sesame street has extended to shanghai through a joint production of a chinese version , sponsored by us power company general electric -lrb- ge -rrb- , of the us made children 's television program .",sesame street extends to shanghai," Sesame Street expands to Shanghai with Chinese version, backed by US utility company GE."
"thai share prices dropped #.# percent in thin trading thursday amid profit-taking by local traders , analysts said .",thai share prices drop #.# percent," Thai share prices declined amid profit-taking by local traders, analysts noted."
"twenty-eight people were rushed to hospital saturday after ## different chemicals spilled inside the hold of a british airways boeing ### at london 's heathrow airport , the rescue services said .",chemical spill at london airport sends ## to hospital," Chemical spill on British Airways plane, 28 taken to hospital."
"tens of thousands of demonstrators marched through brussels sunday , calling for eu action to defend jobs , amid widespread anger at a decision by french carmaker renault to close a factory here .",tens of thousands march through brussels to defend jobs," ""Thousands protest Renault's closure in Brussels."""
"a truck carrying illegal north african immigrants flipped over in northeastern spain , killing ## and injuring six others , police said monday .",eleven immigrants killed in road accident in spain," Truck accident kills 10, injures 6 in Spain."
un secretary general kofi annan on monday heeded the advice of the leading industrialised nations and announced the merger of the world body 's three economic development departments into one .,un chief heeds g# merges economic development departments, Kofi Annan merged UN's economic development departments.
"an unscheduled flight from xiamen in china which could be carrying north korean defector hwang jang-yop landed tuesday at the clark airbase , north of here , sources at the manila international airport said .",chinese plane arrives in philippines, North Korean defector Hwang Jang-yop may have flown to Philippines.
"jakarta share prices closed #.# percent lower tuesday amid selling pressure on heavyweight stocks , brokers said .",jakarta shares close #.# percent lower," Jakarta share prices fell sharply on Tuesday, with heavyweight stocks experiencing significant selling pressure. Brokers attributed the decline to various factors."
a shiite moslem cleric living in iran has threatened to call for a holy war against the bahraini government if it sentences to death alleged iranian-backed militants .,shiite cleric warns of holy war against bahrain, Iran cleric threatens holy war over Bahrain sentence.
president bill clinton admitted tuesday that the us-russia summit will be a `` tough '' one as he heads for a showdown with president boris yeltsin over his cherished role of expanding nato .,clinton admits us-russia agenda will be tough by gretchen cook, President Clinton admits tough summit ahead.
"rescuers have found the two black boxes belonging to the russian antonov-## charter plane which crashed tuesday in the north caucasus , killing the ## people on board , the ministry for emergencies said wednesday .",black boxes recovered from plane crash site in caucasus," Russian charter plane crash, two black boxes found."
"burma has put five cities on a security alert after religious unrest involving buddhists and moslems in the northern city of mandalay , an informed source said wednesday .",burma puts five cities on security alert after religious unrest, Religious tensions in Mandalay prompt security alert.
politicians were urged thursday to regard public opinion not personal views when voting on a bill aimed at overturning the world 's first legislation allowing voluntary euthanasia .,australian euthanasia widow goes public in plea for law to remain," Politicians should consider public opinion, not their personal views."
"up to ## afghans have been killed and hundreds injured by a massive explosion at an ammunition depot in the eastern provincial capital jalalabad , kabul red cross officials said thursday .",up to ## killed in afghan blast accident suspected by terence white, Massive blast kills and injures dozens in Afghanistan.
"delta air lines will hold a press conference at #### gmt thursday to announce a major new aircraft purchase , the company said in a statement .",delta set to announce an important order, Delta to Announce Major Aircraft Purchase.
"german auto group volkswagen chalked up a sharply higher operating profit last year at #.## billion marks -lrb- #.## billion dollars -rrb- , up a cool ##.# percent from the #### level , the UNK concern announced on friday .",volkswagen group reports surge in annual operating profit," German auto group Volkswagen posted a significant increase in operating profit last year, reaching #.## billion marks ($#.## billion dollars), according to their announcement on Friday."
new research suggested saturday that ugly suspects with `` stereotypical criminal features '' are more likely to be found guilty than good - looking defendants .,the beautiful go free while the ugly are damned, New study suggests attractiveness influences legal outcomes.
"a girl of ## cut off a ##-year-old widower 's penis after he made advances to her , police here said sunday .",spanish girl cuts off man 's penis for making sexual advances," Girl cuts off man's penis, police investigate."
"embattled zairean president mobutu sese seko on monday `` took note '' of parliament 's decision last week to sack the government of prime minister kengo wa dondo , national radio said .",mobutu notes parliament 's decision to sack government, Mobutu dismisses Kengo's government.
"hong kong tycoon li ka-shing 's flagship cheung kong -lrb- holdings -rrb- ltd. is expected to report a UNK .# percent rise in #### net profits on wednesday , analysts said .",hong kong 's cheung kong expected to report rise in #### profits," Hong Kong Tycoon, Li Ka-Shing's Company to Report Rise in Net Profits."
"thousands of chanting voices soared into the air at a stadium here wednesday as the dalai lama led about ##,### people in a holy buddhist initiation rite aimed at freeing them from earthly ties .","dalai lama leads ##,### in mass buddhist initiation rite", Dalai Lama conducts mass Buddhist initiation.
wednesday 's evening rubber prices in singapore cents per kilo provided by the singapore commodity exchange : UNK,evening rubber prices," Unknown for Wednesday evening rubber prices in Singapore (cents/kg), as no specific data was given."
"the un expert on missing persons in the former yugoslavia , manfred nowak , resigned on wednesday , blaming his decision to quit on a lack of support from the international community .",un missing persons chief for former yugoslavia resigns," Manfred Nowak, UN expert on missing persons, resigns due to lack of support."
a saudi national suspected in last year 's bombing of a us barracks in saudi arabia appeared at a crucial deportation hearing here wednesday .,new charges brought against saudi suspect in terrorist bombing," ""Saudi National Appears for Deportation Hearing."""
the sudanese opposition said here thursday it had killed more than ### government soldiers in an ambush in the east of the country .,sudanese opposition says ### government troops killed in ambush," Opposition claims victory in battle, kills over ### government soldiers."
"a sudanese convicted of a series of murders and two other arabs found guilty of drug trafficking were beheaded on friday , the saudi interior ministry said .",three beheaded in saudi arabia, Three individuals beheaded for murder and drug trafficking in Saudi Arabia.
the first southeast asian biennial film festival opened here saturday with organizers hailing the event as a step toward rebuilding cambodia 's shattered film industry and promoting regional movies .,southeast asian film festival opens in cambodia," ""Cambodia's film industry rebuilding, regional promo."""
"macedonian construction , environment and urbanization minister UNK UNK has resigned in connection with a scandal over the bankruptcy of the tat savings bank , the belgrade-based independent news agency beta reported , quoting skopje 's a# television .",macedonian minister resigns over scandal more to go : beta, Macedonian Minister Resigns Over Bank Scandal.
"israeli prime minister benjamin netanyahu may be in washington next week and could meet with president bill clinton on the crumbling mideast peace process , the white house said monday .",netanyahu may come to washington as peace process reaches critical phase, Israeli PM Netanyahu to Meet with Clinton.
members of the youth wing of vladimir putin 's united russia party on saturday launched a campaign against illegal immigration under the theme : `` our money for our people .,football : serbian league results, Youth wing launches anti-immigration campaign.
india were ###-# at tea in their second innings on the fifth and final day of the third test against australia at the feroz shah kotla stadium here on sunday .,cricket : india vs australia third test scoreboard," India 219/5 at tea, trailing Australia by 68 runs."
"there is little appetite among european union member states for military intervention in the democratic republic of congo , the eu 's most senior military figure warned monday .",little eu will for tough drcongo operation : military chief," Limited support for DRC military intervention, EU military chief says."
"german public regional bank hsh nordbank will ask the government for up to ## billion euros -lrb- ##.# billion dollars -rrb- in loan guarantees as part of a national rescue plan for the banking sector , it said in a statement on monday .",german hsh nordbank wants up to ## bln euros in state guarantees, German regional bank HSH Nordbank to seek government loans.
"hong kong shares closed #.# percent higher monday , led by property developers and hsbc , dealers said .",hong kong shares close #.# percent higher," Hong Kong shares rose on Monday, with property developers and HSBC leading gains. Dealers attributed the rise to positive economic data from China."
